Files Compared,ORB 1,SSIM 1,ORB 2,SSIM 2,ORB 3,SSIM 3,ORB 4,SSIM 4,ORB 5,SSIM 5
"('55.png', '51.png')",0.806034483,0.716971554,0.662100457,0.793302241,0.907407407,0.870485515,0.988235294,0.932853155,1,0.909961151
"('55.png', '2.png')",0.704918033,0.706216565,0.743961353,0.80189869,0.869863014,0.88595447,0.97265625,0.937628625,1,0.930466873
"('55.png', '27.png')",0.82231405,0.699835587,0.755102041,0.77697069,0.811965812,0.899164454,0.970212766,0.921587797,0.997101449,0.94335343
"('55.png', '17.png')",0.849206349,0.747295809,0.669724771,0.776003605,0.82962963,0.855892328,0.977973568,0.908712487,1,0.967996643
"('55.png', '16.png')",0.914529915,0.718001793,0.704761905,0.815611453,0.818181818,0.847110578,0.967948718,0.888008714,1,0.974494626
"('55.png', '31.png')",0.680628272,0.68223757,0.778350515,0.726125163,0.90647482,0.852104481,0.989417989,0.899770475,0.997297297,0.974661171
"('55.png', '5.png')",0.821917808,0.545053661,0.727272727,0.769702526,0.883333333,0.92934254,0.966666667,0.865118007,1,0.961630142
"('55.png', '30.png')",0.736625514,0.71243106,0.688888889,0.791283703,0.874074074,0.8152231,0.978647687,0.929769323,1,0.976773136
"('55.png', '14.png')",0.765567766,0.708308109,0.712041885,0.784200833,0.828828829,0.893135599,0.970588235,0.931881185,1,0.976773136
"('55.png', '1.png')",0.737254902,0.704113339,0.75,0.799321226,0.905172414,0.891913153,0.982300885,0.907351756,0.997455471,0.960986271
"('55.png', '45.png')",0.756097561,0.698890201,0.724489796,0.797531548,0.876923077,0.900296841,0.992125984,0.943252373,1,0.955474144
"('55.png', '39.png')",0.798319328,0.751396679,0.70212766,0.762494813,0.8984375,0.876789395,0.977272727,0.936452529,0.992443325,0.965849013
"('55.png', '40.png')",0.866906475,0.763377366,0.715686275,0.785581864,0.893442623,0.865474069,0.976744186,0.927326264,1,0.976773136
"('55.png', '3.png')",0.895833333,0.75998381,0.726829268,0.786969338,0.840707965,0.910134889,0.976095618,0.91759607,1,0.934304348
"('55.png', '20.png')",0.819672131,0.71855694,0.680555556,0.730117754,0.888059701,0.879224211,0.978873239,0.916642241,1,0.954902361
"('55.png', '64.png')",0.8125,0.711571215,0.83625731,0.811273847,0.857142857,0.884249099,0.981273408,0.925363172,1,0.900689822
"('55.png', '33.png')",0.845132743,0.722160311,0.712041885,0.744941844,0.897810219,0.918909079,0.985714286,0.873267224,1,0.912954121
"('55.png', '24.png')",0.945833333,0.808182428,0.784530387,0.788104429,0.862068966,0.886501321,0.982905983,0.92259013,1,0.960625328
"('55.png', '19.png')",0.93258427,0.780990756,0.755,0.77241286,0.867132867,0.908778459,0.98245614,0.940471121,1,0.974555267
"('55.png', '38.png')",0.813380282,0.717757481,0.696682464,0.784082238,0.914285714,0.910268469,0.984615385,0.898902584,1,0.965065872
"('55.png', '34.png')",0.784,0.705760073,0.693989071,0.663707001,0.888059701,0.908195613,0.97740113,0.881854362,1,0.976773136
"('55.png', '29.png')",0.710638298,0.702023315,0.532258065,0.754520516,0.910569106,0.899785662,0.996197719,0.927222445,1,0.929639163
"('55.png', '49.png')",0.798283262,0.728257614,0.713483146,0.796080777,0.896,0.885617472,0.995780591,0.949708783,0.997468354,0.956605863
"('55.png', '4.png')",0.9004329,0.716519,0.70212766,0.760527135,0.919753086,0.900776845,0.996,0.946168632,1,0.976773136
"('55.png', '59.png')",0.779527559,0.700906059,0.630841121,0.780989042,0.886075949,0.839042919,0.991561181,0.937018879,1,0.957099151
"('55.png', '50.png')",0.978070175,0.807630794,0.666666667,0.8316644,0.863309353,0.906264747,0.989399293,0.937862433,1,0.953427035
"('55.png', '28.png')",0.881632653,0.651496489,0.680628272,0.779626881,0.871794872,0.893532727,0.975728155,0.885101007,1,0.960576743
"('55.png', '25.png')",0.888030888,0.704890032,0.724137931,0.796013292,0.889655172,0.823750813,0.980314961,0.931263965,1,0.976773136
"('55.png', '48.png')",0.713675214,0.704079037,0.708333333,0.82677313,0.911764706,0.899765231,0.971428571,0.940662783,0.992248062,0.959072677
"('55.png', '9.png')",0.918454936,0.745598219,0.69266055,0.77562125,0.832116788,0.865701323,0.98015873,0.93616154,1,0.964463012
"('55.png', '62.png')",0.909090909,0.778574292,0.731481481,0.798613178,0.8625,0.862358351,0.988593156,0.910084146,1,0.929209315
"('55.png', '44.png')",0.804081633,0.718956275,0.698412698,0.734976233,0.907142857,0.870854679,0.965648855,0.926962105,1,0.969578288
