Files Compared,ORB,SSIM,ORB,SSIM,ORB,SSIM,ORB,SSIM,ORB,SSIM
"('3.png', '9.png')",0.776190476,0.725580697,0.902912621,0.804197772,0.929824561,0.886687042,0.976666667,0.945603909,1,0.99757746
"('3.png', '10.png')",0.759825328,0.639397272,0.912280702,0.846481902,0.901345291,0.848454256,0.972868217,0.955567318,1,0.981098705
"('3.png', '11.png')",0.660714286,0.629906522,0.793814433,0.786944454,0.920212766,0.853492041,0.983388704,0.949783197,1,1
"('3.png', '12.png')",0.7875,0.681513975,0.898734177,0.776952216,0.897959184,0.796615394,0.957943925,0.918966744,1,0.9940225
"('3.png', '13.png')",0.762931034,0.686232202,0.858585859,0.801191379,0.945606695,0.842708165,0.940074906,0.927081906,0.996815287,0.964239615
"('3.png', '14.png')",0.720588235,0.657062022,0.895522388,0.757217943,0.961038961,0.885439845,0.941605839,0.942956388,1,1
"('3.png', '15.png')",0.823529412,0.695401278,0.670212766,0.771416899,0.915178571,0.883687086,0.982876712,0.946362503,1,0.95835318
"('3.png', '16.png')",0.811881188,0.669751534,0.872641509,0.827852555,0.92,0.862454028,0.986956522,0.934674931,1,1
"('3.png', '17.png')",0.826732673,0.739145589,0.8125,0.835488973,0.928571429,0.868584799,0.956043956,0.894567269,1,1
"('3.png', '18.png')",0.861924686,0.686597198,0.860335196,0.846694519,0.960869565,0.870919672,0.967741935,0.908202451,1,0.971997885
"('3.png', '19.png')",0.882845188,0.651277726,0.883838384,0.803740721,0.94,0.858292925,0.982876712,0.964093691,1,0.994279045
"('3.png', '20.png')",0.838862559,0.690549414,0.741293532,0.774634987,0.864130435,0.848557934,0.995555556,0.898298529,1,0.953537615
"('3.png', '21.png')",0.791164659,0.699077476,0.788944724,0.663418237,0.96,0.902321276,0.98467433,0.920913324,1,0.981949101
"('3.png', '22.png')",0.732217573,0.692734738,0.875647668,0.798586221,0.886597938,0.760882264,0.977099237,0.919875297,1,0.997762205
"('3.png', '23.png')",0.834146341,0.729750468,0.924623116,0.79219314,0.918552036,0.896879586,0.970149254,0.924615656,1,0.981989057
"('3.png', '24.png')",0.852631579,0.671343243,0.891666667,0.770659098,0.865470852,0.839941126,0.97993311,0.952697988,1,1
"('3.png', '25.png')",0.919871795,0.765947694,0.869565217,0.820538139,0.948598131,0.844113559,0.977419355,0.940398634,1,1
"('3.png', '26.png')",0.778846154,0.513858936,0.837438424,0.799319397,0.9625,0.883265524,0.984848485,0.941912877,1,0.964685919
"('3.png', '27.png')",0.822335025,0.685011787,0.892857143,0.799028402,0.945205479,0.89668421,0.95620438,0.920999038,1,0.969199466
"('3.png', '28.png')",0.896296296,0.686513254,0.829545455,0.697288368,0.892307692,0.881706951,0.968253968,0.878193722,1,0.977934065
"('3.png', '29.png')",0.777292576,0.687993301,0.866108787,0.808067178,0.924686192,0.901086293,0.979508197,0.929527555,0.997005988,0.947203731
"('3.png', '30.png')",0.845814978,0.702817396,0.837837838,0.83535992,0.890909091,0.842468899,0.988929889,0.946234959,1,0.983075378
"('3.png', '31.png')",0.748717949,0.690469355,0.863157895,0.766633088,0.948717949,0.870893426,0.939849624,0.900160313,1,0.992459661
"('3.png', '32.png')",0.804979253,0.535873396,0.913043478,0.811861495,0.886010363,0.758216148,0.958860759,0.953660467,1,1
"('3.png', '33.png')",0.768472906,0.692547854,0.839779006,0.772111474,0.924444444,0.858960392,0.966527197,0.922605302,1,0.958649361
"('3.png', '34.png')",0.817777778,0.702519459,0.840425532,0.703029474,0.909090909,0.857160717,0.959349593,0.942439747,1,1
"('3.png', '35.png')",0.820833333,0.602859442,0.754010695,0.78622411,0.943722944,0.86907701,0.978571429,0.953818778,0.995652174,0.942044734
"('3.png', '36.png')",0.800829876,0.702387011,0.865284974,0.746900516,0.953389831,0.879217583,0.987096774,0.96081685,1,1
"('3.png', '37.png')",0.791505792,0.704148758,0.880434783,0.760578222,0.92920354,0.848333633,0.967611336,0.922382836,1,1
