Files Compared,ORB 1,SSIM 1,ORB 2,SSIM 2,ORB 3,SSIM 3,ORB 4,SSIM 4,ORB 5,SSIM 5
"('1.png', '16.png')",0.716981132,0.59195295,0.905,0.785582859,0.847457627,0.839413985,0.978070175,0.893050663,1,0.947331205
"('1.png', '17.png')",0.615384615,0.743594718,0.820512821,0.767627009,0.896551724,0.825451312,0.971698113,0.894030326,0.997613365,0.987399493
"('1.png', '18.png')",0.631578947,0.697859113,0.961325967,0.801385568,0.884848485,0.84833213,0.971698113,0.902499327,1,0.971607052
"('1.png', '19.png')",0.785276074,0.70224754,0.912621359,0.798507852,0.852564103,0.769568259,0.99047619,0.928681606,0.996845426,0.97159361
"('1.png', '20.png')",0.598130841,0.741927815,0.715846995,0.772300251,0.912371134,0.831884382,0.982532751,0.894185897,0.997109827,0.961455761
"('1.png', '21.png')",0.620689655,0.747832049,0.987951807,0.779938077,0.942528736,0.852817305,0.976525822,0.895510371,0.991266376,0.891050624
"('1.png', '22.png')",0.542016807,0.755236604,0.919191919,0.798913176,0.891025641,0.82690788,0.986486486,0.921472841,1,0.944900267
"('1.png', '23.png')",0.603864734,0.728748947,0.901041667,0.755720814,0.896341463,0.860222425,0.964285714,0.89543819,1,0.981636531
"('1.png', '24.png')",0.655555556,0.68553557,0.891304348,0.822727587,0.897959184,0.822965493,0.990243902,0.925449194,0.996644295,0.965855592
"('1.png', '25.png')",0.766467066,0.61409165,0.858757062,0.765149042,0.938650307,0.871469093,0.991266376,0.877378732,1,0.972289714
"('1.png', '26.png')",0.65060241,0.560306068,0.886363636,0.781776838,0.944134078,0.846706725,1,0.910639273,1,0.980033295
"('1.png', '27.png')",0.561576355,0.67643648,0.908163265,0.807715552,0.901960784,0.835369629,0.986425339,0.90026391,1,0.99122209
"('1.png', '28.png')",0.731707317,0.597302553,0.856353591,0.753693393,0.893617021,0.838133686,0.994818653,0.885387047,1,0.925577932
"('1.png', '29.png')",0.560538117,0.679908675,0.80861244,0.74813869,0.897142857,0.83554933,0.967889908,0.912470836,0.996,0.89276794
"('1.png', '30.png')",0.56,0.627884865,0.936073059,0.805419186,0.936170213,0.756245366,0.972093023,0.90086092,0.997747748,0.977805444
"('1.png', '31.png')",0.485596708,0.736500669,0.849056604,0.703397683,0.905555556,0.838293865,0.979591837,0.884887915,1,0.950867023
"('1.png', '32.png')",0.60106383,0.60472747,0.913636364,0.797736095,0.829268293,0.773587865,0.9875,0.922538164,1,0.943424017
"('1.png', '33.png')",0.60591133,0.679839082,0.855721393,0.750698352,0.892215569,0.829714285,0.981481481,0.899930079,0.994505495,0.976421176
"('1.png', '34.png')",0.56557377,0.754909229,0.806451613,0.624877863,0.911764706,0.855346042,0.985507246,0.897197065,1,0.986722069
"('1.png', '35.png')",0.620853081,0.686946508,0.87150838,0.793652299,0.888888889,0.814529909,0.984771574,0.854954625,0.996805112,0.969876213
